keys,en,ru,fi
COMMON_LEVEL,"Level","Уровень","Taso"
MENU_GOTO_MAIN_MENU,"Main menu","Главное меню","Päävalikko"
MENU_START_GAME,"Start Game","Начать игру","Jatka peliä"
MENU_SELECT_LEVEL,"Select Level","Выбрать уровень","Valitse taso"
MENU_AUTHORS_POINTER,"Authors ->","Авторы ->","Tekijät ->"
MENU_AUTHORS_CONTENT,"Code and Idea:\n    Arctic Code Games\n\nArt and Music:\n    Free\n\nThanks for playing!\nI hope you enjoy the game!","Код и идея:\n    Arctic Code Games\n\nАрт и музыка:\n    Бесплатные\n\nСпасибо за игру!\nНадеюсь, что вам понравилось!","Koodi ja idea:\n    Arctic Code Games\n\nKuvat ja musiikki:\n    vapaa\n\nKiitos pelaamisesta!\nToivottavasti olet viihtynyt!"
MENU_SECRET_NPC,"I am not ready yet\nCome back later.","Я еще не готов,\nвозвращайся позже.","En ole vielä valmis,\nTule takaisin myöhemmin."
PAUSE_TITLE,"PAUSE","ПАУЗА","TAUKO"
PAUSE_RESUME,"RESUME","ПРОДОЛЖИТЬ","JATKA"
PAUSE_RESTART,"RESTART","ЗАНОВО","UUDESTAAN"
PAUSE_MAIN_MENU,"MAIN MENU","МЕНЮ","PÄÄVALIKKO"
MUSHROOM_MOM_MESSAGE,"Oh no, all my\nmushrooms\nare lost. Could you\nplease help me\nto find them?","О нет, все мои\nгрибочки потерялись!\nТы поможешь мне\nнайти их?","Voi ei, minun kaikki\nsienet ovat hävinneet,\nvoisitko auttaa minua\netsimään niitä?"
LEVEL_COMPLETED_COLLECTED,"Collected:","Собрано:","Kerätty:"
LEVEL_COMPLETED_WIN_TITLE,"Level Completed!","Уровень завершен!","Taso suoritettu!"
LEVEL_COMPLETED_WIN_ACTIONS,"Press to continue...","Нажми для продолжения...","Paina jatkaaksesi..."
LEVEL_COMPLETED_LOST_TITLE,"You lost. Maybe next time...","Ты проиграл. Может быть, в следующий раз...","Hävisit. Ehkä seuraavalla kerralla..."
LEVEL_COMPLETED_LOST_ACTIONS,"Press to restart...","Нажми, чтобы начать заново...","Paina aloittaaksesi uudelleen..."
LANGUAGE_CHANGED_MESSAGE,"Language changed","Язык изменен","Kieli vaihdettu"
TIME_SPENT,"Time spent:","Потраченное время:","Kulutettu aika:"